楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,电梯数,单元数,楼栋数,楼盘地址,电梯总数,单元总数,楼栋总数,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价
635,慧谷,慧谷,慧谷,商住楼,8,4,2,武科东四路11号,8,4,2,武侯区,西门,三环外,900,2009,40,1.6,24000
,,,慧谷,,8,4,2,,,,,,,,,,,,
200,慧苑,慧苑,,高级住宅,,,,西林街1号,0,0,0,成华区,北门,二环至三环,835,2011,32,1.2,19440
4233,火炬大厦,火炬大厦,火炬大厦,写字楼,3,2,1,创业路16号,3,2,1,高新区,南门,二环至三环,500,2003,30,1.6,19800
,,,火炬大厦,,3,2,1,,,,,,,,,,,,
4990,,火炬动力港A,火炬动力港A,写字楼,0,0,1,三色路158号,0,0,0,高新区,南门,三环外,500,2012,50,2.8,13200
4991,,火炬动力港B,火炬动力港B,写字楼,0,0,1,三色路158号,0,0,0,高新区,南门,三环外,500,2012,50,2.8,13200
2068,火炬动力港二期写字楼,火炬动力港二期,火炬动力港二期,写字楼,3,3,3,锦江工业园三色路269号,3,3,3,锦江区,南门,三环外,500,2010,50,2.8,13200
6231,火炬动力港二期写字楼,火炬动力港二期二,火炬动力港二期二,写字楼,5,3,2,金石路81号,5,3,2,锦江区,,,3520,1998,0,0,9000
2069,火炬动力港二期写字楼,火炬动力港二期二批次,火炬动力港二期二,写字楼,5,3,2,锦江工业园三色路269号,5,3,2,锦江区,南门,三环外,500,2011,50,2.8,13200
1383,火炬动力港一期写字楼,火炬动力港一期,火炬动力港一期,写字楼,8,4,2,三色路269号,8,4,2,锦江区,南门,三环外,500,2005,30,1.6,19800
4601,火炬时代,火炬时代,火炬时代,写字楼,6,3,1,高朋大道科园三路4号,6,3,3,高新区,南门,二环至三环,600,2012,50,8,18700
,,,火炬时代,,6,3,3,,,,,,,,,,,,
,,,火炬时代,,6,3,1,,,,,,,,,,,,
1539,机车馨苑,机车嘉苑,机车嘉苑,普通住宅,6,3,1,二仙桥北路31号,6,3,1,成华区,北门,二环至三环,500,2012,29,1.6,17100
,,,机车佳苑,,6,3,1,,,,,,,,,,,,
1540,机车馨苑,机车馨苑,机车馨苑,普通住宅,12,6,2,二仙桥北路31号,12,6,2,成华区,北门,二环至三环,500,2012,29,1.6,17100
,,,机车馨苑,,12,6,2,,,,,,,,,,,,
5571,机关事务管理局,机关事务管理局,机关事务管理局,高级住宅,5,5,1,庆云北街48号,5,5,1,锦江区,东方,,300,2010,0,0,21810
3761,机械大厦,机械大厦,机械大厦,商住楼,2,1,1,蜀通路89号,2,1,1,金牛区,西门,二环至三环,1633,2007,32,1.6,19200
,,,机械大厦,,2,1,1,,,,,,,,,,,,
,,,机械大厦,,2,1,1,,,,,,,,,,,,
6412,积家御景,积家御景,,高级住宅,,,,南熏大道二段柳林路266号,0,0,0,温江区,,,1833,2002,0,0,10116
636,吉春苑,吉春苑,吉春苑,普通住宅,10,10,2,吉福南路292号,10,10,3,武侯区,南门,二环至三环,583,2009,35,0.6,20900
,,,吉春苑,,9,9,2,,,,,,,,,,,,
,,,吉春苑,,10,6,3,,,,,,,,,,,,
833,吉福新苑,吉福新苑,吉福新苑,普通住宅,8,8,3,胜利桥街3号,8,8,3,武侯区,西门,二环至三环,500,2014,30,1.6,18000
,,,吉福新苑,,8,8,3,,,,,,,,,,,,
,,,吉福新苑,,8,8,3,,,,,,,,,,,,
,,,吉福新苑,,8,8,3,,,,,,,,,,,,
834,吉绿苑,吉绿苑,吉绿苑,普通住宅,7,7,2,胜利街1号,7,7,2,武侯区,西门,二环至三环,327,2013,30,1.8,18000
,,,吉绿苑,,7,7,2,,,,,,,,,,,,
5610,吉美苑,吉美苑,吉美苑,高级住宅,5,2,3,长益街2号,5,2,3,武侯区,东方,,243,2001,0,0,16246
341,吉祥大厦,吉祥大厦,吉祥大厦,商住楼,2,1,1,上南大街49号,2,1,1,锦江区,南门,一环内,500,2004,50,1.8,38220
,,,吉祥大厦,,2,1,1,,,,,,,,,,,,
5761,吉祥花园,吉祥花园,吉祥花园,普通住宅,0,22,8,金银花街25号,0,22,8,龙泉驿区,,,1381,2011,20,0,6000
1384,吉祥佳苑,吉祥佳苑,吉祥佳苑,普通住宅,14,7,6,栀子街1138号,16,8,6,锦江区,东门,三环外,1120,2013,50,1.5,15750
,,,吉祥佳苑,,16,8,6,,,,,,,,,,,,
3725,吉祥苑,吉祥苑,吉祥苑,普通住宅,4,2,1,同善桥东街32号,5,3,1,青羊区,西门,二环至三环,500,2003,50,0.5,16000
,,,吉祥苑,,4,2,1,,,,,,,,,,,,
,,,吉祥苑,,5,3,1,,,,,,,,,,,,
,,,吉祥苑,,3,3,1,,,,,,,,,,,,
,,,吉祥苑,,3,3,1,,,,,,,,,,,,
5461,吉祥苑?悠然雅舍,吉祥苑?悠然雅舍,吉祥苑?悠然雅舍,高级住宅,3,3,1,双清巷11号,0,0,0,青羊区,东方,,306,2003,40,1.6,11850
3825,加怡名城,加怡名城,加怡名城,普通住宅,5,3,2,龙腾中路16号,4,2,1,武侯区,西门,二环至三环,850,2009,31,1.7,18600
,,,加怡名城,,4,2,1,,,,,,,,,,,,
1565,加州国际,加州国际,加州国际,商住楼,10,5,2,二环路北一段83号,0,0,0,金牛区,西门,二环至三环,900,2008,56,1.6,33600
3856,加州派,加州派,加州派,写字楼,2,2,1,二环路北一段14号,2,2,1,金牛区,西门,一环至二环,500,2008,30,1.2,17800
4109,加州派商务酒店,加州派商务酒店,,商住楼,,,,一环路西一段30号,0,0,0,武侯区,西门,一环内,500,2008,36,1.6,22470
3275,加州阳光,加州阳光,加州阳光,商住楼,2,1,1,南三环五段188号,2,1,1,金牛区,东方,,380,2007,50,0.8,15800
5105,加州壹号,加州壹号,加州壹号,商住楼,1,1,1,金沙路15号,0,0,0,金牛区,北门,二环至三环,522,2008,43,2,21600
4337,加州印象,加州印象,加州印象,写字楼,4,2,1,交大路2号,4,2,2,金牛区,西门,二环至三环,1307,2008,30,1.8,20200
,,,加州印象,,4,2,1,,,,,,,,,,,,
,,,智业.加州印象,,3,2,2,,,,,,,,,,,,
127,佳季精品酒店,佳季精品酒店,,商业中心,,,,金丝街7号,0,0,0,青羊区,北门,一环内,467,2008,39,1.6,23520
4416,佳利花园一期,佳利花园,佳利花园,商住楼,2,1,1,兴蓉路10号,0,0,0,武侯区,南门,一环至二环,638,2005,30,1.2,19800
638,佳利花园二期,佳利花园二期,佳利花园二期,商住楼,2,1,1,兴蓉路10号,2,1,1,武侯区,南门,一环至二环,500,2012,54,1.2,32560
639,佳利花园三期,佳利花园三期,佳利花园三期,商住楼,6,3,1,兴蓉路10号,6,3,1,武侯区,南门,一环至二环,864,2012,54,1.2,32560
4844,佳美榕苑,佳美榕苑,,普通住宅,,,,星河路38号,0,17,7,金牛区,西门,二环至三环,294,2002,50,0.6,14800
5269,佳年华广场,佳年华广场,佳年华广场,高级住宅,9,3,2,峨眉山路555号,9,3,2,成华区,东方,,1000,2015,63,1.8,34200
1279,佳荣酒店,佳荣酒店,佳荣酒店,普通住宅,1,1,1,营门口路39号,1,1,1,金牛区,西门,一环至二环,1050,2002,32,1.6,19000
4775,佳顺苑,佳顺苑,,高级住宅,,,,致民路88号,0,12,5,武侯区,南门,一环内,292,2002,32,1.5,20580
412,佳园,佳园,佳园,高级住宅,2,2,1,抚琴西路216号,2,2,1,金牛区,西门,一环至二环,840,2004,36,0.5,21600
1547,佳兆业·君汇上品,佳兆业·君汇上品,,普通住宅,,,,南湖国际风景区两江交汇处,0,0,0,高新区,南门,三环外,900,2014,50,1.6,15180
6026,佳兆业八号一期,佳兆业八号,佳兆业八号,高级住宅,20,10,3,东升街道城北上街253号,20,10,3,双流区,东方,,550,2016,0,1.8,15600
6027,佳兆业八号二期,佳兆业八号2期,佳兆业八号2期,高级住宅,26,13,3,东升街道城北上街253号,26,13,3,双流区,东方,,750,2016,0,1.8,15600
6028,佳兆业八号三期,佳兆业八号3期,佳兆业八号3期,高级住宅,18,9,2,东升街道城北上街253号,18,9,2,双流区,东方,,425,2016,0,1.8,15600
6029,佳兆业威登郡,佳兆业威登郡,佳兆业威登郡,高级住宅,48,24,24,航港路1313号,48,24,24,双流区,东方,,674,2016,0,1.8,14266
6030,佳兆业现代城,佳兆业现代城,佳兆业现代城,高级住宅,44,17,10,星空路898号,44,17,10,双流区,东方,,813,2016,0,1.8,14266
4724,佳州星城商业中心,佳州星城(商业楼),佳州星城(商业楼),商业中心,11,8,4,建设南支巷1号,11,8,4,金牛区,北门,一环至二环,300,2016,100,5,21600
4725,佳州星城住宅,佳州星城(住宅楼),佳州星城(住宅楼),高级住宅,13,5,3,建设南支巷1号,13,5,3,金牛区,北门,一环至二环,700,2016,40,2.2,21600
,,,佳州星城住宅,,13,5,3,,,,,,,,,,,,
3893,家益·锦华苑二期,家益·锦华苑二期,,普通住宅,,,,府青路一段3号,0,0,0,成华区,北门,一环内,426,2005,50,0.3,12600
5709,家益庭园,家益庭园,家益庭园,普通住宅,16,8,4,警校路一段246号,16,8,4,天府新区,,,484,2009,27,0,8000
1752,家益欣城,家益欣城,家益欣城,普通住宅,32,16,8,丽景路599号,32,16,8,高新区,南门,三环外,900,2011,50,1.2,14740
,,,家益欣城,,0,16,8,,,,,,,,,,,,
4861,家在回廊,家在回廊,家在回廊,高级住宅,0,28,8,蜀汉路367号,0,28,8,金牛区,西门,二环至三环,462,2004,31,0.6,19000
1881,嘉好·财富荷花,嘉好·财富荷花,嘉好·财富荷花,写字楼,2,1,1,北站东二路4号,0,0,0,金牛区,北门,一环至二环,426,2009,30,1.6,16020
3568,嘉好大厦,嘉好大厦,嘉好大厦,写字楼,3,1,1,顺城大街27号,3,2,1,青羊区,东门,一环内,1181,2008,50,5,16380
,,,嘉好大厦,,3,1,1,,,,,,,,,,,,
,,,嘉好大厦,,0,2,1,,,,,,,,,,,,
,,,嘉好大厦,,3,1,1,,,,,,,,,,,,
4777,嘉和楠苑,嘉和楠苑,,高级住宅,,,,武侯大道双楠段40号,0,9,3,武侯区,西门,一环至二环,300,2002,31,0.8,18600
6007,嘉和瑞景,嘉和瑞景,嘉和瑞景,普通住宅,24,12,4,江华逸路111号,24,12,4,青白江区,,,959,2012,20,0,6000
4865,嘉恒商寓,嘉恒商寓,嘉恒商寓,高级住宅,0,2,2,内曹家巷6号,0,2,2,金牛区,北门,一环至二环,500,2000,31,0.8,17100
1280,嘉华旅馆,嘉华旅馆,,商住楼,,,,光荣西路67号,0,0,0,金牛区,北门,一环至二环,700,2006,43,1.6,23400
895,嘉华苑,嘉华苑,,普通住宅,,,,双楠路2号,0,0,0,武侯区,西门,二环至三环,500,2002,31,1.2,18600
3618,嘉立大厦,嘉立大厦,嘉立大厦,写字楼,1,1,1,二环路北一段18号,1,1,1,金牛区,北门,一环至二环,500,2005,50,2,9000
,,,嘉立大厦,,1,1,1,,,,,,,,,,,,
,,,嘉立大厦,,1,1,1,,,,,,,,,,,,
5112,嘉立酒店春熙店,嘉立酒店(春熙店),嘉立酒店(春熙店),商住楼,6,4,2,三圣街33号,0,0,0,锦江区,东门,一环内,500,2007,40,1.6,25200
1281,嘉立酒店尚客店,嘉立酒店(尚客店),嘉立酒店(尚客店),商住楼,1,1,1,站西桥东巷9号,1,1,1,金牛区,东方,,1320,2006,32,1.6,17100
,,,嘉立酒店(尚客店),,1,1,1,,,,,,,,,,,,
5115,嘉立酒店文殊店,嘉立酒店(文殊店),嘉立酒店(文殊店),商业中心,1,1,1,洛阳路29号,0,0,0,青羊区,西门,二环至三环,500,2012,50,1.8,30000
1211,嘉立酒店文殊店,嘉立酒店(文殊坊店),嘉立酒店(文殊坊店),商住楼,1,1,1,洛阳路29号附11号,1,1,1,青羊区,东方,,420,2006,41,1.6,25830
,,,嘉立酒店(文殊坊店),,1,1,1,,,,,,,,,,,,
1212,嘉立酒店五世同堂店,嘉立酒店(五世同堂店),嘉立酒店(五世同堂店),商业中心,1,1,1,五世同堂店街1号,1,1,1,青羊区,东方,,500,2010,32,1.6,19950
,,,嘉立酒店(五世同堂店),,1,1,1,,,,,,,,,,,,
5094,嘉立酒店燕莎店,嘉立酒店(燕莎店),嘉立酒店(燕莎店),商业中心,2,1,1,庆云西街13号,0,0,0,锦江区,东门,一环内,500,2010,40,2,25200
4341,嘉立酒店北站店,嘉立酒店北站店,嘉立酒店(北站店),商业中心,1,1,1,二环路北三段355号,1,1,1,金牛区,北门,一环至二环,583,2009,33,1.6,18000
,,,嘉立酒店北站店,,1,1,1,,,,,,,,,,,,
4285,嘉立酒店华兴店,嘉立酒店华兴店,嘉立酒店(华兴店),商住楼,1,1,1,华兴上街20号,0,0,0,锦江区,东门,一环内,500,2005,40,1.6,25200
5109,嘉立酒店宽窄巷子店,嘉立酒店宽窄巷子店,嘉立酒店(宽窄巷子店),商住楼,1,1,1,青羊东一路4号,0,0,0,青羊区,北门,一环内,500,2007,50,1.8,23100
4271,嘉立酒店庆云店,嘉立酒店庆云店,嘉立酒店(庆云店),商住楼,1,1,1,庆云南街76号,0,0,0,锦江区,东门,一环内,500,2008,40,1.6,25200
5091,嘉立酒店顺城店,嘉立酒店顺城店,顺城大楼(嘉立酒店 顺城店),商住楼,1,1,1,上翔街31号,0,0,0,青羊区,北门,一环内,500,2003,40,1.6,25200
,,,嘉立酒店(顺城店),,1,1,1,,,,,,,,,,,,
1245,嘉立酒店太古里店,嘉立酒店太古里店,嘉立酒店太古里店,商住楼,2,1,1,庆云南街69号,0,0,0,锦江区,东方,,500,2001,50,1.5,15330
4302,嘉立酒店提督店,嘉立酒店提督店,中石化公寓(嘉立酒店提督店),商住楼,1,1,1,提督街120号,0,0,0,青羊区,北门,一环内,500,2003,43,1.6,27300
,,,嘉立酒店(提督店),,1,1,1,,,,,,,,,,,,
4552,嘉美地,嘉美地,嘉美地,普通住宅,10,5,4,剑南大道南段1188号,10,5,4,高新区,南门,三环外,299,2011,30,1.8,17600
,,,嘉美地,,10,5,4,,,,,,,,,,,,
836,嘉楠美地,嘉楠美地,嘉楠美地,普通住宅,18,9,4,武青北路5号,18,9,4,武侯区,西门,三环外,586,2013,50,1.8,16400
4523,嘉年华御府,嘉年华御府,嘉年华御府(一期),普通住宅,22,10,5,天府大道旁老成仁路77号,22,10,5,高新区,南门,三环外,286,2015,30,1.6,15400
,,,嘉年华御府,,22,10,5,,,,,,,,,,,,
,,,嘉年华御府（一期）,,22,10,5,,,,,,,,,,,,
5004,嘉通云尚,嘉通·云尚,,高级住宅,,,,石油路13号,0,0,0,成华区,北门,一环内,652,2013,30,2,21000
4155,嘉通云尚,嘉通云尚,嘉通云尚,商住楼,10,6,2,石油路13号,0,0,0,成华区,北门,一环内,373,2013,30,2,23100
6098,嘉祥瑞庭南城,嘉祥瑞庭南城,嘉祥瑞庭南城,高级住宅,30,10,4,益州大道中段1918号,30,10,4,高新区,,,1667,2004,0,0,20657
276,嘉信花园,嘉信花园,嘉信花园,高级住宅,7,7,5,二环路南三段15号,7,7,5,高新区,南门,一环至二环,443,2005,44,0.8,26400
,,,嘉信花园,,7,5,5,,,,,,,,,,,,
1883,嘉怡苑,嘉怡苑,嘉怡苑（成都）,商住楼,2,1,1,一环路西三段27号,2,2,1,金牛区,西门,一环内,500,2004,50,0.6,16800
,,,嘉怡苑,,2,2,1,,,,,,,,,,,,
6180,嘉怡苑,嘉怡苑（成都）,嘉怡苑（成都）,高级住宅,2,1,1,一环路西三段27号,2,1,1,金牛区,,,163,2003,0,0,13100
970,嘉谊大厦,嘉谊大厦,嘉谊大厦,写字楼,3,2,2,一环路南一段22号,3,2,2,武侯区,南门,一环内,350,2003,81,1.6,28000
3804,嘉逸花园,嘉逸花园,嘉逸花园,普通住宅,22,20,8,双锦路9号,22,20,8,青羊区,西门,二环至三环,495,2002,31,1.3,18600
,,,嘉逸花园,,22,20,8,,,,,,,,,,,,
3494,嘉宇大厦,嘉宇大厦,嘉宇大厦,写字楼,1,1,1,一环路菊乐路1号,1,1,1,武侯区,南门,一环内,286,2005,50,1.5,25200
,,,嘉宇大厦,,1,1,1,,,,,,,,,,,,
,,,嘉宇大厦,,1,1,1,,,,,,,,,,,,
3619,嘉宇天琢城,嘉宇天琢城,嘉宇天琢城,普通住宅,10,4,1,金府路191号,10,4,1,金牛区,西门,二环至三环,600,2010,50,1.5,15400
,,,嘉宇.天琢城,,10,4,1,,,,,,,,,,,,
,,,嘉宇天琢城,,10,4,1,,,,,,,,,,,,
4612,嘉园大厦,嘉园大厦,嘉园大厦,写字楼,8,3,2,一环路西三段31号,8,4,2,金牛区,西门,一环内,800,2011,50,4,26250
,,,嘉园大厦,,8,3,2,,,,,,,,,,,,
,,,嘉园大厦,,8,4,2,,,,,,,,,,,,
3495,嘉云台,嘉云台,嘉云台,写字楼,6,3,3,人民南路4段53号,6,3,3,武侯区,东方,,340,2003,50,6,16500
,,,嘉云台,,6,3,3,,,,,,,,,,,,
5085,戛纳湾滨江,戛纳湾滨江,戛纳湾滨江,高级住宅,40,20,12,华阳镇滨河路二段169号,42,21,12,高新区,南门,三环外,1104,2009,37,1.8,26400
,,,戛纳湾滨江,,42,21,12,,,,,,,,,,,,
5097,戛纳印象,戛纳印象,戛纳印象,高级住宅,5,4,4,华阳滨河路二段368号,0,0,0,高新区,南门,三环外,300,2012,60,3.5,28600
4904,甲壳特区,甲壳特区,甲壳特区,高级住宅,0,2,1,建设巷14号,0,2,1,成华区,北门,一环至二环,276,2007,30,0.6,16200
4449,尖东旺座,尖东旺座,尖东旺座(综合楼),普通住宅,7,1,1,锦东路555号,7,3,3,锦江区,东门,一环至二环,546,2005,50,1,16800
,,,尖东旺座2期36号院,,3,3,1,,,,,,,,,,,,
,,,尖东旺座,,6,3,3,,,,,,,,,,,,
5416,尖东综合楼,尖东综合楼,尖东综合楼,商住楼,6,3,3,二环路东四段36号,0,0,0,锦江区,东方,,100,2010,40,1.6,12000
4186,建川商寓,建川商寓,建川商寓,写字楼,2,1,1,清江东路368号,2,1,1,青羊区,北门,二环至三环,500,1998,28,0.5,15300
,,,建川商寓,,2,1,1,,,,,,,,,,,,
,,,建川商寓,,2,1,1,,,,,,,,,,,,
5596,建科院设计一所,建科院设计一所,建科院设计一所,高级住宅,5,2,1,北站东二路3号,5,2,1,金牛区,东方,,300,2005,0,0,16530
3805,建设大厦,建设大厦,建设大厦,写字楼,4,1,1,东城根街78号,4,1,1,青羊区,北门,一环内,500,2014,50,2,35280
6413,建信奥林匹克花园,建信奥林匹克花园,,高级住宅,,,,光华大道三段336号,0,0,0,温江区,,,1850,2003,0,0,10173
2239,建行第五支行大厦,建行第五支行大厦,建行第五支行大厦,写字楼,4,2,1,人民中路二段86号,0,0,0,青羊区,北门,一环内,500,2001,37,1.6,23100
3960,建行四支行,建行四支行,建行四支行,商业中心,1,1,1,金仙桥路7号,0,0,0,金牛区,北门,一环内,500,2000,30,1.3,18900
3961,建行宿舍,建行宿舍,建行宿舍,商业中心,12,4,2,五丁路9号,0,0,0,金牛区,北门,一环内,500,2000,30,1.3,18900
5356,建阳欣语二期,建阳欣语二期,建阳欣语二期,普通住宅,2,2,1,电视塔路三段46号,2,2,1,成华区,东方,,800,2013,23,1.7,6800
2070,建银大厦,建银大厦,建银大厦,商住楼,6,2,2,红星路四段9号,6,2,2,锦江区,东门,一环内,489,2008,33,1.6,21000
6452,建中大厦,建中大厦,,写字楼,,,,科华北路36号,0,0,0,武侯区,,,1173,1999,0,0,13000
973,建中公寓,建中公寓,建中公寓,高级住宅,2,2,1,科华北路36号附6号,2,2,1,武侯区,南门,一环至二环,537,2000,37,1.6,22000
5016,建筑科学院,建筑科学院,建筑科学院,写字楼,5,2,1,一环路北站东二路3号,5,2,1,金牛区,北门,一环内,900,2007,40,2.2,23100
5444,江安河畔,江安河畔,江安河畔,普通住宅,10,10,5,金花街1号,10,11,5,武侯区,东方,,470,2007,33,1.6,9800
,,,江安河畔,,10,11,5,,,,,,,,,,,,
5655,江安河新居,江安河新居,江安河新居,高级住宅,15,15,5,金花桥街258号,15,15,5,武侯区,东方,,580,2005,0,0,13150
,,,江安河新居,,15,15,5,,,,,,,,,,,,
6377,江安苑,江安苑,江安苑,高级住宅,18,17,8,金花桥路298号,18,17,8,双流区,,,833,2000,0,0,9500
4827,江东民居四区,江东民居4区,江东民居4区,普通住宅,0,12,5,莲桂西路80号,0,12,5,锦江区,东门,一环内,500,1998,50,1.5,16800
2240,江郊庭院,江郊庭院,江郊庭院,普通住宅,10,10,5,东坡北二路46号,10,10,5,青羊区,北门,二环至三环,396,2006,50,1.2,14400
2402,江临阳光,江临阳光商务楼,江临阳光商务楼,商住楼,1,1,1,三官堂街33号,1,1,1,锦江区,东门,一环至二环,600,2009,42,1.6,25200
3188,江南岸,江南岸,江南岸,普通住宅,7,4,1,益州大道北段7号,7,4,1,武侯区,南门,二环至三环,500,2008,28,1.6,17600
,,,江南岸,,7,4,1,,,,,,,,,,,,
5603,江申商住楼,江申商务楼,江申商务楼,写字楼,1,1,1,清江东路118号,1,1,1,青羊区,东方,,60,2003,0,0,16477
1213,江申商住楼,江申商住楼,江申商住楼,写字楼,1,1,1,清江东路118号,1,1,1,青羊区,北门,一环至二环,525,2000,30,1.6,16200
6049,江信大厦,江信大厦,江信大厦,写字楼,1,1,1,太升北路56号,1,1,1,成华区,,,1173,2010,0,0,12760
3383,江宇天府城一期,江宇天府城一期,,普通住宅,,,,天府大道南段海洋路109号,0,0,0,高新区,南门,三环外,900,2016,50,2.5,14696
5617,浆洗街教师公寓,浆洗街教师公寓,浆洗街教师公寓,高级住宅,4,2,1,浆洗街15号,4,2,1,武侯区,东方,,264,2000,0,0,18165
4139,交大·绿岭二期,交大·绿岭二期,交大绿岭二期,高级住宅,12,4,3,观音桥街55号,0,0,0,锦江区,东门,二环至三环,713,2010,34,1.5,21840
1389,交大·绿岭一期,交大·绿岭一期,交大. 绿岭1期,高级住宅,12,4,3,观音桥街55号,12,4,3,锦江区,东门,二环至三环,713,2010,35,1.5,21840
2380,交大北苑,交大北苑,交大北苑,普通住宅,8,4,2,九里堤交大校区内,8,4,2,金牛区,北门,二环至三环,1648,2000,50,0.5,12600
413,交大二期盈座综合楼,交大二期盈座综合楼,交大二期盈座综合楼,商住楼,1,1,1,星辰路2号,1,1,1,金牛区,北门,一环内,700,2006,53,1.6,31500
837,交大格外宾馆,交大格外宾馆,交大格外宾馆,商住楼,1,1,1,董家湾南街90号,1,1,1,武侯区,南门,二环至三环,586,2011,33,1.6,19800
640,交大归谷国际住区商业中心,交大归谷国际住区(商业),交大归谷国际住区(商业),商住楼,2,2,2,长益西三路259号,2,2,2,武侯区,南门,二环至三环,350,2013,55,1.6,33000
641,交大归谷国际住区住宅,交大归谷国际住区(住宅),交大归谷国际住区(住宅),高级住宅,32,16,6,长益西三路259号,32,16,6,武侯区,南门,二环至三环,500,2013,55,2.6,33000
5147,交大归谷建设派,交大归谷建设派,交大归谷建设派,高级住宅,13,5,3,二仙桥仙韵一路66号,0,0,0,成华区,北门,二环至三环,1500,2016,50,2.5,21600
4852,交大靓典,交大靓典,交大靓典,高级住宅,0,14,2,同善桥横街路口,0,14,2,金牛区,西门,二环至三环,250,2003,32,0.6,19600
4193,交大绿领二期,交大绿领二期,交大绿领二期,高级住宅,9,3,2,观音桥街77号,9,3,2,锦江区,东门,二环至三环,723,2012,33,1.5,21000
,,,交大绿岭,,9,3,2,,,,,,,,,,,,
2379,交大南园,交大南园,交大南园,普通住宅,8,4,4,九里提交大校区内,8,4,4,金牛区,北门,二环至三环,1648,2000,50,0.5,12600
642,交大万通格外,交大万通格外,交大万通格外,商住楼,12,6,3,董家湾南街8号,12,6,3,武侯区,南门,二环至三环,618,2011,51,1.6,30800
4324,交大易家,交大易家,交大易家,商住楼,2,1,1,武侯大道双楠段389号,2,1,1,武侯区,西门,二环至三环,700,2000,30,1,24000
,,,交大易家,,2,1,1,,,,,,,,,,,,
414,交大智能三期·云庭苑,交大智能三期·云庭苑,交大智能三期·云庭苑,高级住宅,15,15,8,星汉路33号,15,15,8,金牛区,北门,一环内,1983,2005,39,1,23100
1502,交通宾馆,交通宾馆,交通宾馆,商业中心,1,1,1,金鱼街58号,1,1,1,金牛区,西门,一环至二环,500,2012,40,1.6,24000
6453,交通厅社区,交通厅社区,,高级住宅,,,,武侯祠大街180号,0,0,0,武侯区,,,300,2001,0,0,15552
6378,蛟龙海滨广场,蛟龙海滨广场,蛟龙海滨广场,写字楼,30,6,6,蛟龙大道155号,30,6,6,双流区,,,7040,2001,0,0,12000
6379,蛟龙海港广场,蛟龙海港广场,蛟龙海港广场,写字楼,6,2,2,黄海路12号,6,2,2,双流区,,,2347,2004,0,0,6000
4435,教师公寓,教师公寓,教师公寓,高级住宅,4,2,1,武侯祠大街2号,4,2,1,武侯区,南门,一环内,350,1998,30,1.6,26565
,,,教师公寓,,4,2,2,,,,,,,,,,,,
4700,教育宾馆,教育宾馆,教育宾馆,普通住宅,2,2,2,一环路西三段1号,2,2,2,金牛区,西门,一环内,500,2005,30,2,16800
976,教育学院电梯公寓,教育学院电梯公寓,教育学院电梯公寓,高级住宅,12,4,4,人民南路三段24号,12,4,4,武侯区,东方,,817,2011,35,1.6,21000
4413,杰座,杰座,杰座,高级住宅,4,2,1,长益路5号,0,0,0,武侯区,南门,二环至三环,1000,2006,30,1.5,24200
,,,杰座,,4,2,1,,,,,,,,,,,,
6454,,杰座(成都),,高级住宅,,,,长益路5号,0,0,0,武侯区,,,600,2001,0,0,20010
2241,解甲楼,解甲楼,解甲楼,普通住宅,2,1,1,王家塘街12号,2,1,1,青羊区,北门,一环内,500,2006,28,1.6,17850
,,,解甲楼,,2,1,1,,,,,,,,,,,,
789,解甲园,解甲园,解甲园,商住楼,28,28,7,晋沙街16号,28,28,7,武侯区,南门,二环至三环,950,2006,33,1.6,19800
,,,解甲园,,27,27,7,,,,,,,,,,,,
5916,今日花园.熙苑,今日花园.熙苑,今日花园.熙苑,普通住宅,9,9,3,犀浦岷江街三段169号,9,9,3,郫都区,,,335,2012,20,0,6000
415,今日靖园,今日靖园,今日靖园,普通住宅,16,11,6,正义路998号,16,11,6,金牛区,西门,三环外,467,2013,30,1.6,18000
416,金奥苑,金奥苑,金奥苑,高级住宅,2,2,2,金房苑北路1号,2,2,2,金牛区,西门,二环至三环,408,2014,36,0.6,21600
,,,金奥苑,,2,2,1,,,,,,,,,,,,
3759,金城丽景,金城丽景,金城丽景,普通住宅,15,15,7,银沙南路8号,14,14,6,金牛区,北门,二环至三环,562,2005,29,1.2,15840
,,,金城丽景,,14,14,6,,,,,,,,,,,,
1214,金地.嘉年华城,金地.嘉年华城,金地.嘉年华城,普通住宅,20,10,6,蜀辉路469号,20,10,6,青羊区,东方,,1003,2015,33,1.5,19600
4260,,金地.新城市花园,金地.新城市花园,商住楼,16,8,4,龙嘴路236号,16,8,4,青羊区,东方,,1003,2010,32,1.5,19600
4071,,金地.新城市花园C区,金地.新城市花园C区,商住楼,12,7,2,蜀辉路469号,12,7,2,青羊区,东方,,900,2015,33,1.5,20000
4192,金地·贝福里花园,金地·贝福里花园,金地.贝福里花园,商住楼,18,10,5,桐梓林中路6号,18,10,5,武侯区,南门,二环至三环,264,2007,33,1.5,22000
,,,贝福里花园,,18,10,5,,,,,,,,,,,,
,,,金地贝福里花园,,16,9,5,,,,,,,,,,,,
4173,金地花园,金地花园,金地花园,商住楼,7,5,3,少陵东路1号,7,5,3,武侯区,西门,一环至二环,900,2004,50,1.5,16400
,,,金地花园,,7,5,3,,,,,,,,,,,,
,,,金地花园,,7,5,3,,,,,,,,,,,,
