楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,电梯数,单元数,楼栋数,楼盘地址,电梯总数,单元总数,楼栋总数,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价
5809,百盛苑二期,百盛苑二期,百盛苑二期,普通住宅,0,16,4,东升花月东街122号,0,16,4,双流区,,,210,2005,20,0,6000
308,百思特酒店,百思特酒店,,商业中心,,,,东玉龙街45号,0,0,0,锦江区,北门,一环至二环,300,2014,45,1.6,27000
726,百通大厦,百通大厦,百通大厦,商住楼,2,2,1,马家花园路1号,2,2,1,金牛区,西门,二环至三环,1173,1998,72,1.8,28000
,,,百通大厦,,1,1,1,,,,,,,,,,,,
6262,百悦公园大道,百悦公园大道,百悦公园大道,高级住宅,24,12,7,金梨路33号,24,12,7,龙泉驿区,,,2777,2001,0,0,13000
6263,百悦天鹅湖,百悦天鹅湖,百悦天鹅湖,高级住宅,37,21,13,金桉路1号,37,21,13,龙泉驿区,,,3575,1998,0,0,17263
6264,百悦云景,百悦云景（商务楼）,百悦云景（商务楼）,写字楼,14,7,7,金桉路88号附7号,14,7,7,龙泉驿区,,,7040,1999,0,0,12000
6265,百悦云景,百悦云景（住宅）,百悦云景（住宅）,高级住宅,9,3,1,金桉路88号,9,3,1,龙泉驿区,,,1417,2003,0,0,14063
5089,佰腾数码广场,佰腾数码广场,佰腾数码广场,写字楼,1,1,1,新南路96号,0,0,0,武侯区,南门,一环内,500,2015,50,10,27300
2185,柏林春天,柏林春天,柏林春天,写字楼,1,1,1,西玉龙街大福建营巷13号,1,1,1,青羊区,北门,一环内,500,2004,50,1,14280
1710,半岛城邦一期,半岛城邦,半岛城邦,高级住宅,18,7,5,濯锦东路246号,18,7,5,高新区,南门,三环外,594,2014,47,3,30800
1711,半岛城邦二期,半岛城邦二期,半岛城邦二期,高级住宅,28,10,8,濯锦东路246号,28,10,8,高新区,南门,三环外,594,2015,40,2,26400
1712,半岛城邦二期,半岛城邦三期,半岛城邦三期,高级住宅,29,11,1,濯锦东路246号,29,11,9,高新区,南门,三环外,594,2016,40,2,26400
,,,半岛城邦三期,,29,11,9,,,,,,,,,,,,
4603,半岛城邦一期,半岛城邦一期,半岛城邦三期,高级住宅,18,7,5,濯锦东路246号,0,0,0,高新区,南门,三环外,594,2014,46,3,30800
6366,邦泰华府公馆,邦泰华府公馆,邦泰华府公馆,高级住宅,40,20,11,泰华路168号,40,20,11,双流区,,,4677,2001,0,0,20000
2383,榜样,榜样,榜样,普通住宅,4,2,1,跳澄河北路199号,4,2,1,成华区,东门,三环外,500,2001,35,1.5,21000
3828,宝润苑,宝润苑,宝润苑(成都),普通住宅,6,6,2,广福路3号,6,6,2,武侯区,西门,一环至二环,852,2002,31,1.5,18600
6439,删除,宝润苑(成都),,高级住宅,,,,广福桥路3号,0,0,0,武侯区,,,1047,2001,0,0,15937
4455,宝泰家园一期,宝泰家园,宝泰家园,普通住宅,10,5,2,文德路58号,0,0,0,成华区,北门,二环至三环,830,2012,28,1.8,15300
171,宝泰家园二期,宝泰家园二期,宝泰家园二期,商住楼,10,5,2,文德路58号,10,5,2,成华区,北门,二环至三环,912,2012,33,1.8,19800
