城市,楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,状态,媒体类型,经营商户,电梯数,单元数,楼栋数,楼盘地址,禁忌行业,单价,电梯总数,单元总数,楼栋总数,促销价格,是否活动,媒体类型占比,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价,缩略图,大门图片,单元图片,电梯图片,经度,纬度,状态,资源录入时间,资源录入人员,操作时间,操作人员,楼盘备注
成都,6081,IMC国际广场,IMC国际广场,IMC国际广场,写字楼,开启,电梯框架,分众传媒,6,2,1,吉庆四路188号,,199,6,2,1,0,2,"a:1:{s:7:""media_1"";d:100;}",高新区,,,1173,2006,0,0,20414,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.065216,30.552605,开启,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,5010,QQ酒店,QQ酒店,,商业中心,,,,,,,九里堤北路6号,,99,0,0,0,0,0,a:0:{},金牛区,北门,一环内,300,2004,90,1.5,19950,./Uploads/ico/2017-05-09/m_5911611e442c3.JPG,./Uploads/ico/2017-05-09/5911611e442c3.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.05274,30.70744,禁用,2017年04月13日 15点31分03秒,yanglianqi,2017年12月20日 14点44分24秒,杨镰齐,
成都,4174,Q城,Q城,Q城,普通住宅,开启,电梯框架,精视传媒,4,2,1,汇泉南路106号,,99,4,2,1,0,0,"a:2:{s:7:""media_1"";d:50;s:7:""media_3"";d:50;}",锦江区,东门,二环至三环,303,2011,30,1.8,19950,./Uploads/thumb/2016-03-07/56dd1e66b240c.jpg,./Uploads/ico/2016-03-07/56dd1e66b240c.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.104945,30.627117,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分09秒,杨镰齐,
,,,,Q城,,禁用,电子屏,新潮,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Q城,,开启,门贴,正合门道,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,5607,Q城摩登派,Q城摩登派,Q城摩登派,高级住宅,开启,门贴,成都众燚,4,2,1,汇泉南路106号,,99,4,2,1,0,0,"a:1:{s:7:""media_3"";d:100;}",锦江区,东方,,168,2010,0,0,18074,./Uploads/ico/2018-05-18/m_5afe9b5942c69.jpg,./Uploads/ico/2018-05-18/5afe9b5942c69.jpg,,./Uploads/ico/2018-05-18/5afe9b5c2acb1.jpg,104.104929,30.627204,开启,1970年01月01日 08点00分00秒,,2018年05月18日 17点22分42秒,杨镰齐,
成都,5376,SHINE.星立方,SHINE.星立方,SHINE.星立方,商住楼,开启,门贴,盛世华腾,14,5,1,光华南三路89号,,99,14,5,1,0,0,"a:1:{s:7:""media_3"";d:100;}",青羊区,东方,,900,2016,28,2.6,8500,./Uploads/ico/2018-02-07/m_5a7aaa830b9b2.jpg,./Uploads/ico/2018-02-07/5a7aaa830b9b2.jpg,./Uploads/ico/2016-09-28/57eb1e1cd57dec.jpg,./Uploads/ico/2018-02-07/5a7aaa871a769.jpg,103.962972,30.664792,开启,1970年01月01日 08点00分00秒,,2018年02月07日 15点28分09秒,杨镰齐,
成都,3470,SOHO沸城,SOHO沸城,SOHO沸城,写字楼,禁用,电子屏,新潮,8,2,2,科华北路60号,,99,0,0,0,0,0,a:0:{},武侯区,南门,一环至二环,792,2005,35,1.2,22880,./Uploads/thumb/2017-03-23/58d37aaf980ff.jpg,./Uploads/ico/2017-03-23/58d37aaf980ff.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.076034,30.624571,禁用,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点43分57秒,杨镰齐,
成都,6436,删除,SOHO沸城（成都）,,写字楼,,,,,,,科华北路60号,,199,0,0,0,0,0,a:0:{},武侯区,,,1173,2003,0,0,10223,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.076034,30.624571,禁用,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,3420,SOHO商务港,SOHO商务港,SOHO商务港,写字楼,开启,电梯框架,分众传媒,2,1,1,宏济新路5号,,199,2,1,1,0,2,"a:1:{s:7:""media_1"";d:100;}",锦江区,东门,一环至二环,500,2001,50,1.1,10080,./Uploads/thumb/2016-11-08/58216f5f58164.jpg,./Uploads/ico/2016-11-08/58216f5f58164.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.092003,30.641001,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点43分57秒,杨镰齐,
,,,,SOHO商务港,,禁用,电子屏,博景传媒,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,3421,SOHO我的寓所,SOHO我的寓所,SOHO我的寓所,写字楼,开启,电梯框架,分众传媒,3,1,1,天仙桥北路1号,,199,3,1,1,0,2,"a:1:{s:7:""media_1"";d:100;}",锦江区,东门,一环内,276,2004,33,1.5,21000,./Uploads/thumb/2016-11-08/58216f935fb56.jpg,./Uploads/ico/2016-11-08/58216f935fb56.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.085331,30.650266,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点43分57秒,杨镰齐,
,,,,soho我的寓所,,禁用,电子屏,博景传媒,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4570,SOLO,SOLO,SOLO电梯公寓,商住楼,禁用,电子屏,新潮,4,4,2,东风路北一巷11号,,99,0,0,0,0,0,a:0:{},成华区,东门,一环内,370,2004,28,1.2,18060,./Uploads/ico/2017-05-10/m_5912e08177aba.jpg,./Uploads/ico/2017-05-10/5912e08177aba.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.092852,30.65177,禁用,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分16秒,杨镰齐,
成都,4741,SOLO电梯公寓,SOLO电梯公寓,SOLO电梯公寓,商住楼,开启,电梯框架,经典视线,4,2,1,东风路20号,,99,4,2,1,0,0,"a:1:{s:7:""media_1"";d:100;}",锦江区,东门,一环内,400,2003,33,1.6,23100,./Uploads/ico/2017-05-09/m_591165e9e222f.JPG,./Uploads/ico/2017-05-09/591165e9e222f.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.09295,30.65185,开启,2017年01月12日 13点35分34秒,yanglianqi,2017年12月20日 14点44分18秒,杨镰齐,
